GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
TiKV Java Client,org.tikv.common.parser,MySqlParser.ExtractFunctionCallContext,62,0,6,0,12,0,12,0,9,0
TiKV Java Client,org.tikv.common.parser,MySqlParser.FunctionCallContext,14,0,0,0,6,0,4,0,4,0
TiKV Java Client,org.tikv.common.parser,MySqlParser.IsNullPredicateContext,51,0,6,0,10,0,10,0,7,0
TiKV Java Client,org.tikv.common.parser,MySqlParser.BitOperatorContext,35,0,6,0,9,0,8,0,5,0
TiKV Java Client,org.tikv.common.parser,MySqlParserBaseListener,153,0,0,0,151,0,151,0,151,0
TiKV Java Client,org.tikv.common.parser,MySqlParser.FullIdContext,50,0,6,0,12,0,11,0,8,0
TiKV Java Client,org.tikv.common.parser,MySqlParser.SpecificFunctionContext,14,0,0,0,6,0,4,0,4,0
TiKV Java Client,org.tikv.common.parser,MySqlParser.DottedIdContext,46,0,6,0,11,0,10,0,7,0
TiKV Java Client,org.tikv.common.parser,MySqlParser.DecimalLiteralContext,55,0,6,0,13,0,12,0,9,0
TiKV Java Client,org.tikv.common.parser,MySqlParser.CaseFuncAlternativeContext,55,0,6,0,13,0,12,0,9,0
TiKV Java Client,org.tikv.common.parser,MySqlParser.BooleanLiteralContext,45,0,6,0,11,0,10,0,7,0
TiKV Java Client,org.tikv.common.parser,MySqlParser.NestedExpressionAtomContext,44,0,6,0,9,0,9,0,6,0
TiKV Java Client,org.tikv.common.parser,MySqlLexer,11860,0,8,0,33,0,14,0,10,0
TiKV Java Client,org.tikv.common.parser,MySqlParser.LevelInWeightListElementContext,56,0,6,0,13,0,12,0,9,0
TiKV Java Client,org.tikv.common.parser,MySqlParser.ScalarFunctionNameContext,151,0,6,0,32,0,31,0,28,0
TiKV Java Client,org.tikv.common.parser,MySqlParser.CaseFunctionCallContext,71,0,6,0,14,0,14,0,11,0
